"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"298",14,"Detroit Lions",DET,"DST13","-","239","347","294.8","33.8","-74"
"299",14,"Drew Allar",PIT,"QB41","22","205","324","266.9","32.3","-41"
"300",14,"Mike Gesicki",CIN,"TE42","30","210","322","283.9","44.0","-"
"301",14,"Los Angeles Chargers",LAC,"DST14","-","269","332","297.3","20.9","-41"
"302",14,"George Holani",SEA,"RB79","26","230","388","300.9","49.0","-"
"303",14,"Darius Slayton",NYG,"WR114","29","240","377","289.5","46.5","-"
"304",14,"Darnell Washington",PIT,"TE43","25","231","324","276.4","32.2","-"
"305",14,"DeMario Douglas",NE,"WR115","25","235","388","292.3","53.5","-"
"306",14,"Chris Brooks",GB,"RB80","26","278","342","306.0","18.6","-"
"307",14,"Cedric Tillman",FA,"WR116","26","252","403","295.6","45.8","-"
"308",14,"Tahj Brooks",CIN,"RB81","24","275","385","325.1","34.3","-"
"309",14,"Jake Tonges",SF,"TE44","27","257","359","297.5","35.4","-56"
"310",14,"Andrei Iosivas",CIN,"WR117","26","264","320","287.4","17.1","-"
"311",14,"Jalen Royals",KC,"WR118","23","236","363","289.0","35.1","-"
"312",14,"Najee Harris",NYG,"RB82","28","281","362","313.9","28.6","-16"
"313",14,"Tyquan Thornton",KC,"WR119","26","234","340","271.5","35.9","-"
"314",14,"Seth McGowan",IND,"RB83","24","272","386","315.1","36.6","-53"
"315",14,"Cole Kmet",CHI,"TE45","27","231","338","273.8","34.1","-"
"316",14,"LeQuint Allen Jr.",JAC,"RB84","22","272","363","317.2","29.0","-"
"317",14,"Cade Klubnik",NYJ,"QB42","22","258","311","275.8","21.4","-20"
"318",14,"Buffalo Bills",BUF,"DST15","-","287","347","309.4","19.5","-23"
"319",14,"Cleveland Browns",CLE,"DST16","-","276","347","309.6","21.1","-"
"320",14,"Jalen Milroe",SEA,"QB43","23","245","271","256.0","9.5","-"
"321",14,"Kendre Miller",NO,"RB85","24","281","400","329.8","39.9","-"
"322",14,"Jarquez Hunter",MIA,"RB86","23","234","368","313.4","42.3","-"
"323",14,"Jerome Ford",WAS,"RB87","26","247","354","303.1","30.1","-"
"324",14,"Cole Payton",PHI,"QB44","23","242","322","266.4","29.0","-"
"325",14,"Jake Moody",FA,"K14","26","259","327","289.2","22.3","-"
"326",14,"Jake Elliott",PHI,"K15","31","290","353","319.9","24.8","-"
"327",14,"Justin Fields",KC,"QB45","27","258","296","271.6","12.8","-"
"328",14,"Jalen Tolbert",MIA,"WR120","27","212","384","293.3","62.4","-"
