player_name,team,position,overall_rank,position_rank,tier,projection,auction_value,source,bye_week,draft_year,draft_round,age_at_week_1,source_file
Puka Nacua,LAR,WR,1,1,,,,ESPN 2026 Dynasty Top 240,,2023,5,25.25,NFL26_CS_Dyn(new).pdf
Ja'Marr Chase,CIN,WR,2,2,,,,ESPN 2026 Dynasty Top 240,,2021,1,26.5,NFL26_CS_Dyn(new).pdf
Bijan Robinson,ATL,RB,3,1,,,,ESPN 2026 Dynasty Top 240,,2023,1,24.58,NFL26_CS_Dyn(new).pdf
Jahmyr Gibbs,DET,RB,4,2,,,,ESPN 2026 Dynasty Top 240,,2023,1,24.42,NFL26_CS_Dyn(new).pdf
Jaxon Smith-Njigba,SEA,WR,5,3,,,,ESPN 2026 Dynasty Top 240,,2023,1,24.5,NFL26_CS_Dyn(new).pdf
Amon-Ra St. Brown,DET,WR,6,4,,,,ESPN 2026 Dynasty Top 240,,2021,4,26.83,NFL26_CS_Dyn(new).pdf
Malik Nabers,NYG,WR,7,5,,,,ESPN 2026 Dynasty Top 240,,2024,1,23.08,NFL26_CS_Dyn(new).pdf
Justin Jefferson,MIN,WR,8,6,,,,ESPN 2026 Dynasty Top 240,,2020,1,27.17,NFL26_CS_Dyn(new).pdf
Jeremiyah Love,ARI,RB,9,3,,,,ESPN 2026 Dynasty Top 240,,2026,1,21.25,NFL26_CS_Dyn(new).pdf
CeeDee Lamb,DAL,WR,10,7,,,,ESPN 2026 Dynasty Top 240,,2020,1,27.42,NFL26_CS_Dyn(new).pdf
Trey McBride,ARI,TE,11,1,,,,ESPN 2026 Dynasty Top 240,,2022,2,26.75,NFL26_CS_Dyn(new).pdf
De'Von Achane,MIA,RB,12,4,,,,ESPN 2026 Dynasty Top 240,,2023,3,24.83,NFL26_CS_Dyn(new).pdf
Drake London,ATL,WR,13,8,,,,ESPN 2026 Dynasty Top 240,,2022,1,25.08,NFL26_CS_Dyn(new).pdf
Brock Bowers,LV,TE,14,2,,,,ESPN 2026 Dynasty Top 240,,2024,1,23.67,NFL26_CS_Dyn(new).pdf
Rashee Rice,KC,WR,15,9,,,,ESPN 2026 Dynasty Top 240,,2023,2,26.33,NFL26_CS_Dyn(new).pdf
Ashton Jeanty,LV,RB,16,5,,,,ESPN 2026 Dynasty Top 240,,2025,1,22.75,NFL26_CS_Dyn(new).pdf
Omarion Hampton,LAC,RB,17,6,,,,ESPN 2026 Dynasty Top 240,,2025,1,23.42,NFL26_CS_Dyn(new).pdf
Tetairoa McMillan,CAR,WR,18,10,,,,ESPN 2026 Dynasty Top 240,,2025,1,23.42,NFL26_CS_Dyn(new).pdf
Garrett Wilson,NYJ,WR,19,11,,,,ESPN 2026 Dynasty Top 240,,2022,1,26.08,NFL26_CS_Dyn(new).pdf
Nico Collins,HOU,WR,20,12,,,,ESPN 2026 Dynasty Top 240,,2021,3,27.42,NFL26_CS_Dyn(new).pdf
George Pickens,DAL,WR,21,13,,,,ESPN 2026 Dynasty Top 240,,2022,2,25.5,NFL26_CS_Dyn(new).pdf
Jonathan Taylor,IND,RB,22,7,,,,ESPN 2026 Dynasty Top 240,,2020,2,27.58,NFL26_CS_Dyn(new).pdf
Chris Olave,NO,WR,23,14,,,,ESPN 2026 Dynasty Top 240,,2022,1,26.17,NFL26_CS_Dyn(new).pdf
Jayden Daniels,WAS,QB,24,1,,,,ESPN 2026 Dynasty Top 240,,2024,1,25.67,NFL26_CS_Dyn(new).pdf
James Cook,BUF,RB,25,8,,,,ESPN 2026 Dynasty Top 240,,2022,2,26.92,NFL26_CS_Dyn(new).pdf
Christian McCaffrey,SF,RB,26,9,,,,ESPN 2026 Dynasty Top 240,,2017,1,30.25,NFL26_CS_Dyn(new).pdf
Carnell Tate,TEN,WR,27,15,,,,ESPN 2026 Dynasty Top 240,,2026,1,21.58,NFL26_CS_Dyn(new).pdf
Emeka Egbuka,TB,WR,28,16,,,,ESPN 2026 Dynasty Top 240,,2025,1,23.83,NFL26_CS_Dyn(new).pdf
Josh Allen,BUF,QB,29,2,,,,ESPN 2026 Dynasty Top 240,,2018,1,30.25,NFL26_CS_Dyn(new).pdf
Breece Hall,NYJ,RB,30,10,,,,ESPN 2026 Dynasty Top 240,,2022,2,25.25,NFL26_CS_Dyn(new).pdf
Saquon Barkley,PHI,RB,31,11,,,,ESPN 2026 Dynasty Top 240,,2018,1,29.58,NFL26_CS_Dyn(new).pdf
Zay Flowers,BAL,WR,32,17,,,,ESPN 2026 Dynasty Top 240,,2023,1,25.92,NFL26_CS_Dyn(new).pdf
DeVonta Smith,PHI,WR,33,18,,,,ESPN 2026 Dynasty Top 240,,2021,1,27.75,NFL26_CS_Dyn(new).pdf
A.J. Brown,NE,WR,34,19,,,,ESPN 2026 Dynasty Top 240,,2019,2,29.17,NFL26_CS_Dyn(new).pdf
Ladd McConkey,LAC,WR,35,20,,,,ESPN 2026 Dynasty Top 240,,2024,2,24.75,NFL26_CS_Dyn(new).pdf
Drake Maye,NE,QB,36,3,,,,ESPN 2026 Dynasty Top 240,,2024,1,24,NFL26_CS_Dyn(new).pdf
